x_m,y_m
-3.450000000000008171e+00,1.240000000000003411e+01
-3.450000000000008171e+00,1.225000000000003375e+01
-3.450000000000008171e+00,1.210000000000003340e+01
-3.450000000000008171e+00,1.200000000000003197e+01
-3.450000000000008171e+00,1.185000000000003340e+01
-3.450000000000008171e+00,1.175000000000003197e+01
-3.450000000000008171e+00,1.160000000000003162e+01
-3.450000000000008171e+00,1.145000000000003126e+01
-3.450000000000008171e+00,1.130000000000003091e+01
-3.450000000000008171e+00,1.115000000000003055e+01
-3.450000000000008171e+00,1.100000000000003020e+01
-3.450000000000008171e+00,1.085000000000002984e+01
-3.450000000000008171e+00,1.075000000000002842e+01
-3.450000000000008171e+00,1.060000000000002984e+01
-3.450000000000008171e+00,1.045000000000002771e+01
-3.450000000000008171e+00,1.030000000000002913e+01
-3.450000000000008171e+00,1.020000000000002771e+01
-3.450000000000008171e+00,1.005000000000002913e+01
-3.450000000000008171e+00,9.950000000000027711e+00
-3.450000000000008171e+00,9.800000000000027356e+00
-3.450000000000008171e+00,9.650000000000027001e+00
-3.450000000000008171e+00,9.500000000000026645e+00
-3.450000000000008171e+00,9.400000000000025224e+00
-3.450000000000008171e+00,9.250000000000026645e+00
-3.450000000000008171e+00,9.100000000000024514e+00
-3.453146853146861872e+00,9.000000000000024869e+00
-3.439976689976698587e+00,8.900000000000023448e+00
-3.422960372960380582e+00,8.800000000000025580e+00
-3.391958041958049730e+00,8.700000000000024158e+00
-3.365617715617723604e+00,8.600000000000022737e+00
-3.351981351981360380e+00,8.500000000000024869e+00
-3.345804195804204184e+00,8.400000000000023448e+00
-3.350000000000008527e+00,8.300000000000022027e+00
-3.350000000000008527e+00,8.150000000000023448e+00
-3.350000000000008527e+00,8.000000000000023093e+00
-3.350000000000008527e+00,7.900000000000021672e+00
-3.350000000000008527e+00,7.750000000000022204e+00
-3.350000000000008527e+00,7.650000000000021672e+00
-3.350000000000008527e+00,7.500000000000021316e+00
-3.350000000000008527e+00,7.400000000000019895e+00
-3.350000000000008527e+00,7.250000000000021316e+00
-3.350000000000008527e+00,7.150000000000019895e+00
-3.350000000000008527e+00,7.000000000000019540e+00
-3.350000000000008527e+00,6.900000000000019007e+00
-3.350000000000008527e+00,6.750000000000019540e+00
-3.350000000000008527e+00,6.650000000000019007e+00
-3.350000000000008527e+00,6.550000000000018474e+00
-3.350000000000008527e+00,6.450000000000017941e+00
-3.350000000000008527e+00,6.300000000000018474e+00
-3.350000000000008527e+00,6.200000000000017053e+00
-3.350000000000008527e+00,6.050000000000017586e+00
-3.350000000000008527e+00,5.950000000000017053e+00
-3.350000000000008527e+00,5.800000000000016698e+00
-3.350000000000008527e+00,5.650000000000016342e+00
-3.350000000000008527e+00,5.500000000000015987e+00
